ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
45,"['Q50r1', 'Q50r2', 'Q50r3', 'Q50r4', 'Q50r5', 'Q50r6', 'Q50r7', 'Q50r8', 'Q50r9', 'Q50r10', 'Q50r96', 'Q50r97', 'Q50r98']",Q47,Block/Force,Single to Multi,"Block Q50 group if Q47 is NOT 'Short-term saving - set aside with an intenti...,”  OR 'A combination of saving approaches, some set ...”",Yes,,,,
46,Q50r97,"['Q50r1', 'Q50r2', 'Q50r3', 'Q50r4', 'Q50r5', 'Q50r6', 'Q50r7', 'Q50r8', 'Q50r9', 'Q50r10', 'Q50r96', 'Q50r97', 'Q50r98']",None of the above,,Double exclusive,No,,,,
47,Q50r98,"['Q50r1', 'Q50r2', 'Q50r3', 'Q50r4', 'Q50r5', 'Q50r6', 'Q50r7', 'Q50r8', 'Q50r9', 'Q50r10', 'Q50r96', 'Q50r97', 'Q50r98']",None of the above,,Double exclusive,No,,,,
48,Q51,Q50r97,Block/Force,Single to Single,Block Q51 if Q50r97 is NOT “No plans to spend/convert the set aside…”,Yes,,,,
49,"['Q53r1', 'Q53r2', 'Q53r3', 'Q53r4', 'Q53r5', 'Q53r6', 'Q53r7', 'Q53r8', 'Q53r9', 'Q53r10', 'Q53r11', 'Q53r12', 'Q53r13', 'Q53r96', 'Q53r97', 'Q53r98']",,MultiSelect,,,,,,,
50,"['Q53r1', 'Q53r2', 'Q53r3', 'Q53r4', 'Q53r5', 'Q53r6', 'Q53r7', 'Q53r8', 'Q53r9', 'Q53r10', 'Q53r11', 'Q53r12', 'Q53r13', 'Q53r96', 'Q53r97', 'Q53r98']",Q39,Block/Force,Single to Multi,Block Q53 group if Q39 is NOT  “Coins only” or “A combination of coins and bills”,Yes,,,,
52,Q53r97,"['Q53r1', 'Q53r2', 'Q53r3', 'Q53r4', 'Q53r5', 'Q53r6', 'Q53r7', 'Q53r8', 'Q53r9', 'Q53r10', 'Q53r11', 'Q53r12', 'Q53r13', 'Q53r96', 'Q53r97', 'Q53r98']",None of the above,,Double exclusive,No,,Not Implemented,2,Nota not respected (2 rows)
53,Q53r98,"['Q53r1', 'Q53r2', 'Q53r3', 'Q53r4', 'Q53r5', 'Q53r6', 'Q53r7', 'Q53r8', 'Q53r9', 'Q53r10', 'Q53r11', 'Q53r12', 'Q53r13', 'Q53r96', 'Q53r97', 'Q53r98']",None of the above,,Double exclusive,No,,Not Implemented,43,Nota not respected but double exclusive is working in the dataset
54,"['Q54r1', 'Q54r2', 'Q54r3', 'Q54r4', 'Q54r5', 'Q54r6', 'Q54r7', 'Q54r8', 'Q54r9']",,MultiSelect,,,,,,,
55,"['Q55r1', 'Q55r2', 'Q55r97', 'Q55r98']",,MultiSelect,,,,,,,
56,Q56,Q39,Block/Force,Single to Single,Block Q56 group if Q39 is NOT  “Coins only” or “A combination of coins and bills”,Yes,,,,
57,"['Q57r1', 'Q57r2', 'Q57r3', 'Q57r4', 'Q57r5', 'Q57r6', 'Q57r7', 'Q57r8', 'Q57r9', 'Q57r10', 'Q57r96', 'Q57r97', 'Q57r98']
",,MultiSelect,,,,,,,
58,Q57r97,"['Q57r1', 'Q57r2', 'Q57r3', 'Q57r4', 'Q57r5', 'Q57r6', 'Q57r7', 'Q57r8', 'Q57r9', 'Q57r10', 'Q57r96', 'Q57r97', 'Q57r98']",None of the above,,Double exclusive,No,,,,
59,Q57r98,"['Q57r1', 'Q57r2', 'Q57r3', 'Q57r4', 'Q57r5', 'Q57r6', 'Q57r7', 'Q57r8', 'Q57r9', 'Q57r10', 'Q57r96', 'Q57r97', 'Q57r98']",None of the above,,Double exclusive,No,,,,
69,"['Q58r1', 'Q58r2', 'Q58r3', 'Q58r4', 'Q58r5', 'Q58r96', 'Q58r97', 'Q58r98']",,MultiSelect,,,,,,,
