ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
47,"['c2cr7_1', 'c2cr7_2',
  'c2cr7_3', 'c2cr7_4', 'c2cr7_5', 'c2cr7_6', 'c2cr7_7']",c2a07,Block/Force,Single to Multi,ask c2cr7 if c2a2 = 1,,,,,
78,"['c2cr7_1', 'c2cr7_2',
  'c2cr7_3', 'c2cr7_4', 'c2cr7_5', 'c2cr7_6', 'c2cr7_7']","['c2b_71',
     'c2b_72',
     'c2b_73',
     'c2b_74',
     'c2b_75',
     'c2b_76',
     'c2b_77']",Parallel Piping,Multi to Multi,ask c2cr7_x if c2b_1x is selected,,,,,
1,"['c2b_81',
     'c2b_82',
     'c2b_83',
     'c2b_84',
     'c2b_85',
     'c2b_86',
     'c2b_87',
     'c2b_88']",,MultiSelect,,,,,,,
57,c2b_88,"['c2b_81',
     'c2b_82',
     'c2b_83',
     'c2b_84',
     'c2b_85',
     'c2b_86',
     'c2b_87',
     'c2b_88']",None of the above,,Not asked,,,,,
37,"['c2b_81',
     'c2b_82',
     'c2b_83',
     'c2b_84',
     'c2b_85',
     'c2b_86',
     'c2b_87']",c2a08,Block/Force,Single to Multi,ask c2b2 if c2a2 = 1,,,,,
19,"['c2cr8_1', 'c2cr8_2',
  'c2cr8_3', 'c2cr8_4', 'c2cr8_5', 'c2cr8_6', 'c2cr8_7']",,MultiSelect,,,,,,,
30,"['c2cr8_1', 'c2cr8_2',
  'c2cr8_3', 'c2cr8_4', 'c2cr8_5', 'c2cr8_6', 'c2cr8_7']",c2a08,Block/Force,Single to Multi,ask c2cr8 if c2a2 = 1,,,,,
70,"['c2cr8_1', 'c2cr8_2',
  'c2cr8_3', 'c2cr8_4', 'c2cr8_5', 'c2cr8_6', 'c2cr8_7']","['c2b_81',
     'c2b_82',
     'c2b_83',
     'c2b_84',
     'c2b_85',
     'c2b_86',
     'c2b_87']",Parallel Piping,Multi to Multi,ask c2cr8_x if c2b_1x is selected,,,,,
33,"['c2b_91',
     'c2b_92',
     'c2b_93',
     'c2b_94',
     'c2b_95',
     'c2b_96',
     'c2b_97',
     'c2b_98']",,MultiSelect,,,,,,,
35,c2b_98,"['c2b_91',
     'c2b_92',
     'c2b_93',
     'c2b_94',
     'c2b_95',
     'c2b_96',
     'c2b_97',
     'c2b_98']",None of the above,,Not asked,,,,,
